"Philippine Exports by Commodity Group (GRT), 2000-2025"

"Commodity";"Country Of Destination";"2020 Quantity";"2020 FOB";"2021 Quantity";"2021 FOB";"2022 Quantity";"2022 FOB";"2023 Quantity";"2023 FOB";"2024 Quantity";"2024 FOB";"2025 Quantity";"2025 FOB"
"Processed Tropical Fruits";"Liberia";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Rwanda";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Suriname";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Macedonia, The Former Yugoslav Rep. Of";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"St. Vincent And Grenadines";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Botswana";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Monaco";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Tonga";..;..;..;..;..;..;17525.03;17700.00;..;..;..;..
"Processed Tropical Fruits";"Guinea";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"British Indian Ocean Territory";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Mauritania";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Eritrea";..;..;..;..;..;..;..;..;..;..;..;..
"Processed Tropical Fruits";"Gambia";..;..;..;..;..;..;4892.38;4336.00;12846.84;16571.00;..;..
"Processed Tropical Fruits";"U.S. Oceania, N.E.S.";..;..;..;..;..;..;..;..;..;..;..;..
