Commodity,Country Of Destination,Year,Quantity,FOB,source_file
Activated Carbon,Turkey,2022,32400.0,49175.0,PhilippineExports(2022-2023).csv
Activated Carbon,Turkey,2023,378798.64,791930.0,PhilippineExports(2022-2023).csv
Activated Carbon,Turkey,2024,20860.0,36696.0,PhilippineExports(2024-2025).csv
Activated Carbon,Turkey,2025,424237.0,1043697.0,PhilippineExports(2024-2025).csv
Activated Carbon,Uk Of Great Britain And N. Ireland,2021,343771.77,2356029.0,PhilippineExports(2020-2021).csv
Activated Carbon,Uk Of Great Britain And N. Ireland,2022,299952.01,1026069.0,PhilippineExports(2022-2023).csv
Activated Carbon,Uk Of Great Britain And N. Ireland,2023,165146.38,369060.0,PhilippineExports(2022-2023).csv
Activated Carbon,Uk Of Great Britain And N. Ireland,2024,152720.2,548928.0,PhilippineExports(2024-2025).csv
Activated Carbon,Uk Of Great Britain And N. Ireland,2025,230016.0,715324.0,PhilippineExports(2024-2025).csv
Activated Carbon,"United Arab Emirates, N.E.S.",2021,140000.0,299400.0,PhilippineExports(2020-2021).csv
Activated Carbon,"United Arab Emirates, N.E.S.",2023,41357.43,69850.0,PhilippineExports(2022-2023).csv
Activated Carbon,"United Arab Emirates, N.E.S.",2025,24518.0,68032.0,PhilippineExports(2024-2025).csv
Activated Carbon,United States Of America,2021,8748685.31,17234626.0,PhilippineExports(2020-2021).csv
Activated Carbon,United States Of America,2022,11858586.87,23186444.0,PhilippineExports(2022-2023).csv
Activated Carbon,United States Of America,2023,5806770.73,9958658.0,PhilippineExports(2022-2023).csv
Activated Carbon,United States Of America,2024,6334512.95,9849938.0,PhilippineExports(2024-2025).csv
Activated Carbon,United States Of America,2025,6608006.94,14390571.0,PhilippineExports(2024-2025).csv
Activated Carbon,Venezuela,2024,113680.0,177540.0,PhilippineExports(2024-2025).csv
Activated Carbon,Venezuela,2025,159500.0,390060.0,PhilippineExports(2024-2025).csv
Activated Carbon,Vietnam,2021,224533.16,438856.0,PhilippineExports(2020-2021).csv
Activated Carbon,Vietnam,2022,588518.23,1337050.0,PhilippineExports(2022-2023).csv
Activated Carbon,Vietnam,2023,295510.5,603244.0,PhilippineExports(2022-2023).csv
Activated Carbon,Zimbabwe (Rhodesia),2025,45122.0,132000.0,PhilippineExports(2024-2025).csv
Articles Of Apparel,Afghanistan,2021,212080.0,108225.0,PhilippineExports(2020-2021).csv
Articles Of Apparel,Afghanistan,2022,407.0,8393.0,PhilippineExports(2022-2023).csv
Articles Of Apparel,Afghanistan,2024,4058.96,118269.0,PhilippineExports(2024-2025).csv
Articles Of Apparel,Afghanistan,2025,2.0,32.0,PhilippineExports(2024-2025).csv
Articles Of Apparel,Albania,2022,6.0,150.0,PhilippineExports(2022-2023).csv
Articles Of Apparel,Albania,2023,6.0,410.0,PhilippineExports(2022-2023).csv
Articles Of Apparel,Albania,2025,20.6,867.0,PhilippineExports(2024-2025).csv
Articles Of Apparel,Algeria,2022,2.0,50.0,PhilippineExports(2022-2023).csv
Articles Of Apparel,Algeria,2023,6.0,347.0,PhilippineExports(2022-2023).csv
Articles Of Apparel,Algeria,2024,321.0,100.0,PhilippineExports(2024-2025).csv
Articles Of Apparel,Algeria,2025,9.0,1207.0,PhilippineExports(2024-2025).csv
Articles Of Apparel,American Samoa,2021,1210.0,2733.0,PhilippineExports(2020-2021).csv
Articles Of Apparel,American Samoa,2022,3827.0,8634.0,PhilippineExports(2022-2023).csv
Articles Of Apparel,American Samoa,2023,3829.0,15442.0,PhilippineExports(2022-2023).csv
